         150678 function calls (140598 primitive calls) in 0.584 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.016    0.003 nodes.py:181(set_environment)
  125/105    0.000    0.000    0.032    0.000 parser.py:419(parse_mod)
       14    0.000    0.000    0.000    0.000 query.py:752(ref_alias)
       63    0.000    0.000    0.000    0.000 {_weakref.proxy}
  133/113    0.000    0.000    0.028    0.000 parser.py:456(parse_primary)
      162    0.000    0.000    0.000    0.000 {repr}
       38    0.000    0.000    0.000    0.000 compiler.py:86(__init__)
      134    0.000    0.000    0.000    0.000 compiler.py:388(outdent)
        6    0.000    0.000    0.000    0.000 lexer.py:184(look)
     1018    0.000    0.000    0.000    0.000 {intern}
       43    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
       62    0.000    0.000    0.008    0.000 base.py:232(_valid_connection)
       62    0.000    0.000    0.004    0.000 query.py:417(get_columns)
       62    0.000    0.000    0.012    0.000 {built-in method fetch_row}
       35    0.000    0.000    0.000    0.000 compiler.py:462()
       54    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       38    0.000    0.000    0.000    0.000 compiler.py:130(__init__)
        6    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
       30    0.000    0.000    0.012    0.000 parser.py:514()
        1    0.000    0.000    0.000    0.000 widgets.py:165(value_from_datadict)
       72    0.000    0.000    0.008    0.000 query.py:1231(add_q)
       45    0.000    0.000    0.000    0.000 compiler.py:232(__init__)
      8/7    0.000    0.000    0.000    0.000 compiler.py:1350(visit_Filter)
    22/12    0.000    0.000    0.032    0.003 optimizer.py:35(visit_If)
        9    0.000    0.000    0.000    0.000 base.html:52(block_head)
       76    0.000    0.000    0.004    0.000 datastructures.py:149(copy)
       10    0.000    0.000    0.000    0.000 files.py:130(__set__)
      507    0.000    0.000    0.012    0.000 compiler.py:440(writeline)
     1199    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 ext.py:332(parse)
      634    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       82    0.000    0.000    0.000    0.000 {issubclass}
  125/105    0.000    0.000    0.036    0.000 parser.py:379(parse_concat)
       62    0.000    0.000    0.052    0.001 query.py:1712(execute_sql)
       16    0.000    0.000    0.000    0.000 compiler.py:747()
      211    0.000    0.000    0.000    0.000 tree.py:18(__init__)
      606    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.584    0.584 views.py:7(index)
